City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
221,Paragould,36.0584,-90.4973,60.69,29,20,1.23,US,few clouds
222,Derzhavinsk,51.1,66.3167,49.21,27,100,7.49,KZ,overcast clouds
223,Srednekolymsk,67.45,153.6833,23.31,93,100,26.04,RU,snow
224,Norman Wells,65.282,-126.8329,42.84,70,75,4.61,CA,broken clouds
225,Coruripe,-10.1256,-36.1756,74.41,91,18,8.19,BR,few clouds
226,Behshahr,36.6923,53.5526,69.75,68,0,5.03,IR,clear sky
227,Nizhneangarsk,55.7833,109.55,29.28,64,55,2.04,RU,broken clouds
228,Lazaro Cardenas,17.9583,-102.2,78.96,85,95,3.71,MX,overcast clouds
229,Ovre Ardal,61.3167,7.8,40.32,90,73,7.74,NO,broken clouds
230,San Juan,-31.5375,-68.5364,56.64,53,19,5.12,AR,few clouds
231,Vilcun,-38.65,-72.2333,47.14,98,100,5.79,CL,moderate rain
232,Den Helder,52.9599,4.7593,57.18,72,40,23.02,NL,scattered clouds
233,Soure,-0.7167,-48.5233,80.91,74,5,13.91,BR,clear sky
234,Pevek,69.7008,170.3133,32.2,97,100,8.66,RU,light snow
235,Luanda,-8.8368,13.2343,71.6,94,20,2.3,AO,few clouds
236,Larsnes,62.2028,5.5773,50.0,89,99,21.99,NO,overcast clouds
237,Grand Island,40.925,-98.342,62.29,73,0,4.61,US,clear sky
238,Doha,25.2867,51.5333,85.98,58,0,8.05,QA,clear sky
239,Kaitangata,-46.2817,169.8464,43.34,78,87,16.96,NZ,overcast clouds
240,Shenjiamen,29.9576,122.298,67.26,77,100,14.12,CN,overcast clouds
241,Petropavlovsk-Kamchatskiy,53.0452,158.6483,46.99,49,75,4.47,RU,light rain
242,Tshikapa,-6.4167,20.8,68.4,94,85,2.95,CD,overcast clouds
243,Petropavlovskoye,52.0712,84.107,47.07,52,100,14.07,RU,overcast clouds
244,Esperance,-33.8667,121.9,60.64,55,36,23.64,AU,scattered clouds
245,Byron Bay,-28.65,153.6167,64.71,89,100,2.28,AU,overcast clouds
246,Arlit,18.7369,7.3853,86.47,19,10,7.47,NE,clear sky
247,Acajutla,13.5928,-89.8275,78.58,80,100,5.23,SV,overcast clouds
248,Yulara,-25.2406,130.9889,87.26,16,0,13.2,AU,clear sky
249,Evensk,61.95,159.2333,29.35,76,78,9.33,RU,broken clouds
250,Salalah,17.0151,54.0924,75.29,88,0,4.61,OM,clear sky
251,Kalmunai,7.4167,81.8167,82.47,67,99,2.51,LK,overcast clouds
252,Nome,64.5011,-165.4064,42.87,76,75,19.57,US,broken clouds
253,San Quintin,30.4833,-115.95,68.65,83,46,4.97,MX,scattered clouds
254,Nkhata Bay,-11.6066,34.2907,70.79,58,6,0.51,MW,clear sky
255,Batagay-Alyta,67.8006,130.4114,21.92,76,98,14.07,RU,overcast clouds
256,Terrace,54.5163,-128.6035,57.11,94,75,2.3,CA,broken clouds
257,Linqiong,30.4159,103.4609,64.22,89,100,7.96,CN,overcast clouds
